file_name,network,station,instrument_type,station_lat,station_lon,station_elv,p_arrival_time,p_probability,s_arrival_time,s_probability,start_dt,end_dt
SGF/FN.SGF..HHN__20250102T044222Z__20250102T044322Z.mseed,FN,SGF,0,0,0,0,2025-01-02 04:43:23.740000,1.0,2025-01-02 04:43:23.740000,1.0,2025-01-02 04:42:22,2025-01-02 04:43:22
SGF/FN.SGF..HHN__20250102T044222Z__20250102T044322Z.mseed,FN,SGF,0,0,0,0,2025-01-02 04:43:27.480000,0.8335234041354036,2025-01-02 04:43:27.480000,0.8335234041354036,2025-01-02 04:42:22,2025-01-02 04:43:22
TOF/HE.TOF..HHN__20250102T044222Z__20250102T044322Z.mseed,HE,TOF,0,0,0,0,2025-01-02 04:42:42.340000,0.5743809152857762,2025-01-02 04:42:42.340000,0.5743809152857762,2025-01-02 04:42:22,2025-01-02 04:43:22
HEF/HE.HEF..HHN__20250102T044228Z__20250102T044328Z.mseed,HE,HEF,0,0,0,0,2025-01-02 04:42:36.140000,1.0,2025-01-02 04:42:36.140000,1.0,2025-01-02 04:42:28,2025-01-02 04:43:28
HEF/HE.HEF..HHN__20250102T044228Z__20250102T044328Z.mseed,HE,HEF,0,0,0,0,2025-01-02 04:42:53.150000,0.508627655624461,2025-01-02 04:42:53.150000,0.508627655624461,2025-01-02 04:42:28,2025-01-02 04:43:28
RANF/FN.RANF..HHN__20250102T044230Z__20250102T044330Z.mseed,FN,RANF,0,0,0,0,2025-01-02 04:42:36.800000,1.0,2025-01-02 04:42:38.400000,0.9390397594856671,2025-01-02 04:42:30,2025-01-02 04:43:30
RANF/FN.RANF..HHN__20250102T044230Z__20250102T044330Z.mseed,FN,RANF,0,0,0,0,2025-01-02 04:42:57.700000,0.9738315685970049,2025-01-02 04:42:57.800000,1.0,2025-01-02 04:42:30,2025-01-02 04:43:30
RANF/FN.RANF..HHN__20250102T044230Z__20250102T044330Z.mseed,FN,RANF,0,0,0,0,2025-01-02 04:43:31.660000,1.0,2025-01-02 04:43:31.660000,1.0,2025-01-02 04:42:30,2025-01-02 04:43:30
RANF/FN.RANF..HHN__20250102T044230Z__20250102T044330Z.mseed,FN,RANF,0,0,0,0,2025-01-02 04:43:36.650000,1.0,2025-01-02 04:43:36.650000,1.0,2025-01-02 04:42:30,2025-01-02 04:43:30
OBF8/HE.OBF8..HHN__20250105T045454Z__20250105T045554Z.mseed,HE,OBF8,0,0,0,0,2025-01-05 04:55:04.006000,1.0,2025-01-05 04:55:04.006000,1.0,2025-01-05 04:54:54,2025-01-05 04:55:54
OBF8/HE.OBF8..HHN__20250105T045454Z__20250105T045554Z.mseed,HE,OBF8,0,0,0,0,2025-01-05 04:55:09.596000,1.0,2025-01-05 04:55:09.596000,0.8749442264981928,2025-01-05 04:54:54,2025-01-05 04:55:54
